switch_1,switch_2,light_1,light_2,light_3,position_robot_1,room_robot_1,switch_3,switch_4,light_4,light_5,light_6,action
0,0,0,0,1,2,0,-1,-1,-1,-1,-1,4
0,0,0,0,1,1,0,-1,-1,-1,-1,-1,4
0,0,0,0,1,2,0,-1,-1,-1,-1,-1,4
0,0,0,0,1,3,0,-1,-1,-1,-1,-1,4
1,0,1,0,1,3,0,-1,-1,-1,-1,-1,2
1,0,1,0,1,1,0,-1,-1,-1,-1,-1,4
1,0,1,0,1,2,0,-1,-1,-1,-1,-1,4
1,0,1,0,1,3,0,-1,-1,-1,-1,-1,4
1,0,1,0,1,4,0,-1,-1,-1,-1,-1,4
0,0,0,0,1,4,0,-1,-1,-1,-1,-1,2
0,1,0,0,0,4,0,-1,-1,-1,-1,-1,3
0,1,0,0,0,1,0,-1,-1,-1,-1,-1,4
0,1,0,0,0,2,0,-1,-1,-1,-1,-1,4
1,1,1,1,0,2,0,-1,-1,-1,-1,-1,2
0,1,0,0,0,2,0,-1,-1,-1,-1,-1,2
0,0,0,0,1,2,0,-1,-1,-1,-1,-1,3
0,0,0,0,1,4,0,-1,-1,-1,-1,-1,4
0,0,0,0,1,1,0,-1,-1,-1,-1,-1,4
0,0,0,0,1,3,0,-1,-1,-1,-1,-1,4
0,0,-1,-1,-1,6,1,0,0,0,1,1,4
0,0,-1,-1,-1,6,1,1,0,1,1,1,5
0,0,-1,-1,-1,5,1,1,0,1,1,1,4
0,0,-1,-1,-1,6,1,1,0,1,1,1,4
0,0,-1,-1,-1,7,1,1,0,1,1,1,4
0,0,-1,-1,-1,8,1,1,0,1,1,1,4
0,0,-1,-1,-1,8,1,0,0,0,1,1,5
0,0,-1,-1,-1,8,1,0,1,0,1,0,6
0,0,-1,-1,-1,8,1,1,1,1,0,0,5
0,0,-1,-1,-1,8,1,0,1,0,1,0,5
0,0,-1,-1,-1,8,1,0,0,0,1,1,6
0,0,-1,-1,-1,5,1,0,0,0,1,1,4
0,0,-1,-1,-1,6,1,0,0,0,1,1,4
0,0,-1,-1,-1,7,1,0,0,0,1,1,4
0,0,-1,-1,-1,8,1,0,0,0,1,1,4
0,0,-1,-1,-1,8,1,1,0,1,1,1,5
0,0,-1,-1,-1,8,1,1,1,1,0,0,6
0,0,-1,-1,-1,5,1,1,1,1,0,0,4
0,0,-1,-1,-1,5,1,1,0,1,1,1,6
0,0,-1,-1,-1,5,1,1,0,1,1,1,1
0,0,-1,-1,-1,6,1,1,0,1,1,1,4
0,0,0,0,1,3,0,1,0,-1,-1,-1,4
1,0,1,0,1,3,0,1,0,-1,-1,-1,2
0,0,0,0,1,3,0,1,0,-1,-1,-1,2
0,1,0,0,0,3,0,1,0,-1,-1,-1,3
0,1,0,0,0,1,0,1,0,-1,-1,-1,4
1,1,1,1,0,1,0,1,0,-1,-1,-1,2
0,1,0,0,0,1,0,1,0,-1,-1,-1,2
0,1,0,0,0,2,0,1,0,-1,-1,-1,4
0,0,0,0,1,2,0,1,0,-1,-1,-1,3
0,0,0,0,1,1,0,1,0,-1,-1,-1,4
0,0,0,0,1,2,0,1,0,-1,-1,-1,4
0,0,0,0,1,3,0,1,0,-1,-1,-1,4
0,0,0,0,1,4,0,1,0,-1,-1,-1,4
0,0,0,0,1,2,0,1,0,-1,-1,-1,4
0,0,0,0,1,2,0,1,0,-1,-1,-1,1
0,0,0,0,1,3,0,1,0,-1,-1,-1,4
0,0,-1,-1,-1,6,1,1,0,1,1,1,4
0,0,-1,-1,-1,5,1,1,0,1,1,1,4
0,0,-1,-1,-1,7,1,1,0,1,1,1,4
0,0,-1,-1,-1,8,1,1,0,1,1,1,4
0,0,-1,-1,-1,8,1,1,0,1,1,1,1
0,0,-1,-1,-1,8,1,1,0,1,1,1,1
0,0,-1,-1,-1,5,1,1,0,1,1,1,4
0,0,-1,-1,-1,5,1,1,0,1,1,1,1
0,0,-1,-1,-1,5,1,0,0,0,1,1,5
0,0,-1,-1,-1,5,1,0,1,0,1,0,6
0,0,-1,-1,-1,6,1,0,1,0,1,0,4
0,0,-1,-1,-1,5,1,0,1,0,1,0,4
0,0,-1,-1,-1,7,1,0,1,0,1,0,4
0,0,-1,-1,-1,8,1,0,1,0,1,0,4
0,0,-1,-1,-1,5,1,0,1,0,1,0,4
0,0,-1,-1,-1,7,1,0,1,0,1,0,4
0,0,-1,-1,-1,7,1,0,1,0,1,0,1
0,0,-1,-1,-1,7,1,0,1,0,1,0,1
0,0,-1,-1,-1,6,1,0,1,0,1,0,4
0,0,0,0,1,3,0,0,1,-1,-1,-1,4
1,0,1,0,1,3,0,0,1,-1,-1,-1,2
1,0,1,0,1,1,0,0,1,-1,-1,-1,4
1,0,1,0,1,2,0,0,1,-1,-1,-1,4
0,0,0,0,1,2,0,0,1,-1,-1,-1,2
0,1,0,0,0,2,0,0,1,-1,-1,-1,3
0,1,0,0,0,1,0,0,1,-1,-1,-1,4
1,1,1,1,0,1,0,0,1,-1,-1,-1,2
0,1,0,0,0,1,0,0,1,-1,-1,-1,2
0,0,0,0,1,1,0,0,1,-1,-1,-1,3
0,0,0,0,1,2,0,0,1,-1,-1,-1,4
0,0,0,0,1,1,0,0,1,-1,-1,-1,4
0,0,0,0,1,3,0,0,1,-1,-1,-1,4
0,0,0,0,1,4,0,0,1,-1,-1,-1,4
0,0,0,0,1,4,0,0,1,-1,-1,-1,1
0,0,0,0,1,2,0,0,1,-1,-1,-1,4
0,0,0,0,1,2,0,0,1,-1,-1,-1,1
0,1,0,0,0,2,0,0,1,-1,-1,-1,3
0,1,0,0,0,3,0,0,1,-1,-1,-1,4
0,1,0,0,0,2,0,0,1,-1,-1,-1,4
0,1,0,0,0,4,0,0,1,-1,-1,-1,4
0,0,0,0,1,4,0,0,1,-1,-1,-1,3
0,0,0,0,1,3,0,0,1,-1,-1,-1,4
0,0,-1,-1,-1,6,1,0,1,0,1,0,4
0,0,-1,-1,-1,5,1,0,1,0,1,0,4
